Day,Verb,"Expression (EN)","Expression (KR)",Status
"Day 5",plant,"plant the seedling","심다 묘목을",정상
"Day 5",plant,"plant the tree 50",,"한글 번역 없음"
"Day 5",keep,"I keep active",,"한글 번역 없음"
"Day 5",keep,"keep active","유지하다 적극적인",정상
"Day 5",keep,"keep confident","유지하다 자신감있는",정상
"Day 5",keep,"keep patient","유지하다 참을성있는",정상
"Day 5",keep,"keep positive","유지하다 긍정적인",정상
"Day 5",keep,"keep safe","유지하다 안전한",정상
"Day 5",keep,"keep steady","유지하다 안정된",정상
"Day 5",keep,"keep strong","유지하다 강한",정상
"Day 6",spend,"I spend the time",,"한글 번역 없음"
"Day 6",spend,"spend the afternoon",,"한글 번역 없음"
"Day 6",spend,"spend the day",,"한글 번역 없음"
"Day 6",spend,"spend the evening",,"한글 번역 없음"
"Day 6",spend,"spend the hour",,"한글 번역 없음"
"Day 6",spend,"spend the morning",,"한글 번역 없음"
"Day 6",spend,"spend the night",,"한글 번역 없음"
"Day 6",spend,"spend the time",,"한글 번역 없음"
"Day 6",watch,"I watch English cartoons",,"한글 번역 없음"
"Day 6",watch,"watch the cartoon",,"한글 번역 없음"
"Day 6",watch,"watch the drama",,"한글 번역 없음"
"Day 6",watch,"watch the film",,"한글 번역 없음"
"Day 6",watch,"watch the movie",,"한글 번역 없음"
"Day 6",watch,"watch the news",,"한글 번역 없음"
"Day 6",watch,"watch the soap opera",,"한글 번역 없음"
"Day 6",watch,"watch the video",,"한글 번역 없음"
"Day 6",catch,"I catch new words",,"한글 번역 없음"
"Day 6",catch,"catch the joke",,"한글 번역 없음"
"Day 6",catch,"catch the meaning",,"한글 번역 없음"
"Day 6",catch,"catch the name",,"한글 번역 없음"
"Day 6",catch,"catch the number",,"한글 번역 없음"
"Day 6",catch,"catch the point",,"한글 번역 없음"
"Day 6",catch,"catch the question",,"한글 번역 없음"
"Day 6",catch,"catch the words",,"한글 번역 없음"
"Day 7","think of","I think of my future",,"한글 번역 없음"
"Day 7","think of","think of the end",,"한글 번역 없음"
"Day 7","think of","think of the future",,"한글 번역 없음"
"Day 7","think of","think of the idea",,"한글 번역 없음"
"Day 7","think of","think of the past",,"한글 번역 없음"
"Day 7","think of","think of the risk",,"한글 번역 없음"
"Day 7","think of","think of the title",,"한글 번역 없음"
"Day 7","think of","think of the word",,"한글 번역 없음"
"Day 7",plan,"I plan my day",,"한글 번역 없음"
"Day 7",plan,"plan the day",,"한글 번역 없음"
"Day 7",plan,"plan the future",,"한글 번역 없음"
"Day 7",plan,"plan the holiday",,"한글 번역 없음"
"Day 7",plan,"plan the project",,"한글 번역 없음"
"Day 7",plan,"plan the schedule",,"한글 번역 없음"
"Day 7",plan,"plan the step",,"한글 번역 없음"
"Day 7",plan,"plan the timetable",,"한글 번역 없음"
"Day 7",read,"I read English books",,"한글 번역 없음"
"Day 7",read,"read the book",,"한글 번역 없음"
"Day 7",read,"read the chapter",,"한글 번역 없음"
"Day 7",read,"read the novel",,"한글 번역 없음"
"Day 7",read,"read the page",,"한글 번역 없음"
"Day 7",read,"read the script",,"한글 번역 없음"
"Day 7",read,"read the summary",,"한글 번역 없음"
"Day 7",read,"read the text",,"한글 번역 없음"
"Day 8",face,"I face the challenge",,"한글 번역 없음"
"Day 8",face,"face the challenge",,"한글 번역 없음"
"Day 8",face,"face the fact",,"한글 번역 없음"
"Day 8",face,"face the future",,"한글 번역 없음"
"Day 8",face,"face the reality",,"한글 번역 없음"
"Day 8",face,"face the situation",,"한글 번역 없음"
"Day 8",face,"face the truth",,"한글 번역 없음"
"Day 8",face,"face the world",,"한글 번역 없음"
"Day 8",write,"I write the diary",,"한글 번역 없음"
"Day 8",write,"write the article",,"한글 번역 없음"
"Day 8",write,"write the book",,"한글 번역 없음"
"Day 8",write,"write the diary",,"한글 번역 없음"
"Day 8",write,"write the novel",,"한글 번역 없음"
"Day 8",write,"write the poem",,"한글 번역 없음"
"Day 8",write,"write the scenario",,"한글 번역 없음"
"Day 8",write,"write the song",,"한글 번역 없음"
"Day 8","keep up","I keep up the good work",,"한글 번역 없음"
"Day 8","keep up","keep up the courage",,"한글 번역 없음"
"Day 8","keep up","keep up the good work",,"한글 번역 없음"
"Day 8","keep up","keep up the morale",,"한글 번역 없음"
"Day 8","keep up","keep up the pace",,"한글 번역 없음"
"Day 8","keep up","keep up the price",,"한글 번역 없음"
"Day 8","keep up","keep up the spirit",,"한글 번역 없음"
"Day 8","keep up","keep up the steam",,"한글 번역 없음"
"Day 9",improve,"I improve my English",,"한글 번역 없음"
"Day 9",improve,"improve the ability",,"한글 번역 없음"
"Day 9",improve,"improve the economy",,"한글 번역 없음"
"Day 9",improve,"improve the experience",,"한글 번역 없음"
"Day 9",improve,"improve the health",,"한글 번역 없음"
"Day 9",improve,"improve the morale",,"한글 번역 없음"
"Day 9",improve,"improve the odds",,"한글 번역 없음"
"Day 9",improve,"improve the rights",,"한글 번역 없음"
"Day 9",visit,"I visit the foreign country",,"한글 번역 없음"
"Day 9",visit,"visit the city",,"한글 번역 없음"
"Day 9",visit,"visit the country",,"한글 번역 없음"
"Day 9",visit,"visit the gallery",,"한글 번역 없음"
"Day 9",visit,"visit the library",,"한글 번역 없음"
"Day 9",visit,"visit the museum",,"한글 번역 없음"
"Day 9",visit,"visit the palace",,"한글 번역 없음"
"Day 9",visit,"visit the park",,"한글 번역 없음"
"Day 9","build up","I build up my confidence",,"한글 번역 없음"
"Day 9","build up","build up the body",,"한글 번역 없음"
"Day 9","build up","build up the confidence",,"한글 번역 없음"
"Day 9","build up","build up the friendship",,"한글 번역 없음"
"Day 9","build up","build up the muscles",,"한글 번역 없음"
"Day 9","build up","build up the shoulders",,"한글 번역 없음"
"Day 9","build up","build up the story",,"한글 번역 없음"
"Day 9","build up","build up the teamwork",,"한글 번역 없음"
"Day 10",pass,"I pass my English test",,"한글 번역 없음"
"Day 10",pass,"pass the audition",,"한글 번역 없음"
"Day 10",pass,"pass the course",,"한글 번역 없음"
"Day 10",pass,"pass the exam",,"한글 번역 없음"
"Day 10",pass,"pass the interview",,"한글 번역 없음"
"Day 10",pass,"pass the process",,"한글 번역 없음"
"Day 10",pass,"pass the standard",,"한글 번역 없음"
"Day 10",pass,"pass the test",,"한글 번역 없음"
"Day 10",achieve,"I achieve my goal",,"한글 번역 없음"
"Day 10",achieve,"achieve the dream",,"한글 번역 없음"
"Day 10",achieve,"achieve the goal",,"한글 번역 없음"
"Day 10",achieve,"achieve the grade",,"한글 번역 없음"
"Day 10",achieve,"achieve the hope",,"한글 번역 없음"
"Day 10",achieve,"achieve the progress",,"한글 번역 없음"
"Day 10",achieve,"achieve the success",,"한글 번역 없음"
"Day 10",achieve,"achieve the victory",,"한글 번역 없음"
"Day 10",be,"I am proud of myself",,"한글 번역 없음"
"Day 10",be,"be active",,"한글 번역 없음"
"Day 10",be,"be ashamed",,"한글 번역 없음"
"Day 10",be,"be negative",,"한글 번역 없음"
"Day 10",be,"be passive",,"한글 번역 없음"
"Day 10",be,"be positive",,"한글 번역 없음"
"Day 10",be,"be proud",,"한글 번역 없음"
"Day 10",be,"be shameful",,"한글 번역 없음"
"Day 11","turn off","I turn off the alarm",,"한글 번역 없음"
"Day 11","turn off","turn off the alarm",,"한글 번역 없음"
"Day 11","turn off","turn off the engine",,"한글 번역 없음"
"Day 11","turn off","turn off the fan",,"한글 번역 없음"
"Day 11","turn off","turn off the gas",,"한글 번역 없음"
"Day 11","turn off","turn off the heater",,"한글 번역 없음"
"Day 11","turn off","turn off the power",,"한글 번역 없음"
"Day 11","turn off","turn off the switch",,"한글 번역 없음"
"Day 11","wake up","I wake up early",,"한글 번역 없음"
"Day 11","wake up","wake up early",,"한글 번역 없음"
"Day 11","wake up","wake up easily",,"한글 번역 없음"
"Day 11","wake up","wake up late",,"한글 번역 없음"
"Day 11","wake up","wake up on time",,"한글 번역 없음"
"Day 11","wake up","wake up quickly",,"한글 번역 없음"
"Day 11","wake up","wake up quietly",,"한글 번역 없음"
"Day 11","wake up","wake up slowly",,"한글 번역 없음"
"Day 11",open,"I open my eyes",,"한글 번역 없음"
"Day 11",open,"open a bank account",,"한글 번역 없음"
"Day 11",open,"open the book",,"한글 번역 없음"
"Day 11",open,"open the eyes",,"한글 번역 없음"
"Day 11",open,"open the map",,"한글 번역 없음"
"Day 11",open,"open the mouth",,"한글 번역 없음"
"Day 11",open,"open the page",,"한글 번역 없음"
"Day 11",open,"open the paper",,"한글 번역 없음"
"Day 12","look around","I look around my room",,"한글 번역 없음"
"Day 12","look around","look around the city",,"한글 번역 없음"
"Day 12","look around","look around the house",,"한글 번역 없음"
"Day 12","look around","look around the museum",,"한글 번역 없음"
"Day 12","look around","look around the room",,"한글 번역 없음"
"Day 12","look around","look around the school",,"한글 번역 없음"
"Day 12","look around","look around the shop",,"한글 번역 없음"
"Day 12","look around","look around the store",,"한글 번역 없음"
"Day 12",yawn,"I yawn widely",,"한글 번역 없음"
"Day 12",yawn,"yawn deeply",,"한글 번역 없음"
"Day 12",yawn,"yawn loudly",,"한글 번역 없음"
"Day 12",yawn,"yawn quickly",,"한글 번역 없음"
"Day 12",yawn,"yawn quietly",,"한글 번역 없음"
"Day 12",yawn,"yawn repeatedly",,"한글 번역 없음"
"Day 12",yawn,"yawn slowly",,"한글 번역 없음"
"Day 12",yawn,"yawn widely",,"한글 번역 없음"
"Day 12",greet,"I greet the morning",,"한글 번역 없음"
"Day 12",greet,"greet the New Year",,"한글 번역 없음"
"Day 12",greet,"greet the customer",,"한글 번역 없음"
"Day 12",greet,"greet the day",,"한글 번역 없음"
"Day 12",greet,"greet the fan",,"한글 번역 없음"
"Day 12",greet,"greet the guest",,"한글 번역 없음"
"Day 12",greet,"greet the morning",,"한글 번역 없음"
"Day 12",greet,"greet the spring",,"한글 번역 없음"
"Day 13",make,"I make my bed",,"한글 번역 없음"
"Day 13",make,"make a meal",,"한글 번역 없음"
"Day 13",make,"make breakfast",,"한글 번역 없음"
"Day 13",make,"make dinner",,"한글 번역 없음"
"Day 13",make,"make food",,"한글 번역 없음"
"Day 13",make,"make lunch",,"한글 번역 없음"
"Day 13",make,"make supper",,"한글 번역 없음"
"Day 13",make,"make the bed",,"한글 번역 없음"
"Day 13",feel,"I feel very happy",,"한글 번역 없음"
"Day 13",feel,"feel comfortable",,"한글 번역 없음"
"Day 13",feel,"feel free",,"한글 번역 없음"
"Day 13",feel,"feel fresh",,"한글 번역 없음"
"Day 13",feel,"feel good",,"한글 번역 없음"
"Day 13",feel,"feel great",,"한글 번역 없음"
"Day 13",feel,"feel happy",,"한글 번역 없음"
"Day 13",feel,"feel lucky",,"한글 번역 없음"
"Day 13",say,"I say Good morning",,"한글 번역 없음"
"Day 13",say,"say good afternoon",,"한글 번역 없음"
"Day 13",say,"say good evening",,"한글 번역 없음"
"Day 13",say,"say good job",,"한글 번역 없음"
"Day 13",say,"say good luck",,"한글 번역 없음"
"Day 13",say,"say good morning",,"한글 번역 없음"
"Day 13",say,"say good night",,"한글 번역 없음"
"Day 13",say,"say goodbye",,"한글 번역 없음"
"Day 14","sit on","I sit on the floor",,"한글 번역 없음"
"Day 14","sit on","sit on the bed",,"한글 번역 없음"
"Day 14","sit on","sit on the chair",,"한글 번역 없음"
"Day 14","sit on","sit on the couch",,"한글 번역 없음"
"Day 14","sit on","sit on the floor",,"한글 번역 없음"
"Day 14","sit on","sit on the knee",,"한글 번역 없음"
"Day 14","sit on","sit on the lap",,"한글 번역 없음"
"Day 14","sit on","sit on the sofa",,"한글 번역 없음"
"Day 14",stay,"I stay calm",,"한글 번역 없음"
"Day 14",stay,"stay calm",,"한글 번역 없음"
"Day 14",stay,"stay cool",,"한글 번역 없음"
"Day 14",stay,"stay fit",,"한글 번역 없음"
"Day 14",stay,"stay healthy",,"한글 번역 없음"
"Day 14",stay,"stay quiet",,"한글 번역 없음"
"Day 14",stay,"stay slim",,"한글 번역 없음"
"Day 14",stay,"stay still",,"한글 번역 없음"
"Day 14",do,"I do exercise",,"한글 번역 없음"
"Day 14",do,"do exercise",,"한글 번역 없음"
"Day 14",do,"do pullups",,"한글 번역 없음"
"Day 14",do,"do pushups",,"한글 번역 없음"
"Day 14",do,"do situps",,"한글 번역 없음"
"Day 14",do,"do squats",,"한글 번역 없음"
"Day 14",do,"do warmup",,"한글 번역 없음"
"Day 14",do,"do yoga",,"한글 번역 없음"
"Day 15",act,"I act calmly",,"한글 번역 없음"
"Day 15",act,"act bravely",,"한글 번역 없음"
"Day 15",act,"act calmly",,"한글 번역 없음"
"Day 15",act,"act carefully",,"한글 번역 없음"
"Day 15",act,"act kindly",,"한글 번역 없음"
"Day 15",act,"act naturally",,"한글 번역 없음"
"Day 15",act,"act quickly",,"한글 번역 없음"
"Day 15",act,"act slowly",,"한글 번역 없음"
"Day 15","walk to","I walk to the bathroom",,"한글 번역 없음"
"Day 15","walk to","walk to the bathroom",,"한글 번역 없음"
"Day 15","walk to","walk to the bedroom",,"한글 번역 없음"
"Day 15","walk to","walk to the dining room",,"한글 번역 없음"
"Day 15","walk to","walk to the door",,"한글 번역 없음"
"Day 15","walk to","walk to the kitchen",,"한글 번역 없음"
"Day 15","walk to","walk to the living room",,"한글 번역 없음"
"Day 15","walk to","walk to the window",,"한글 번역 없음"
"Day 15","turn on","I turn on the water",,"한글 번역 없음"
"Day 15","turn on","turn on the TV",,"한글 번역 없음"
"Day 15","turn on","turn on the computer",,"한글 번역 없음"
"Day 15","turn on","turn on the light",,"한글 번역 없음"
"Day 15","turn on","turn on the music",,"한글 번역 없음"
"Day 15","turn on","turn on the radio",,"한글 번역 없음"
"Day 15","turn on","turn on the tap",,"한글 번역 없음"
"Day 15","turn on","turn on the water",,"한글 번역 없음"
"Day 16",rub,"I rub my hands",,"한글 번역 없음"
"Day 16",rub,"rub the arm",,"한글 번역 없음"
"Day 16",rub,"rub the cream",,"한글 번역 없음"
"Day 16",rub,"rub the eyes",,"한글 번역 없음"
"Day 16",rub,"rub the face",,"한글 번역 없음"
"Day 16",rub,"rub the hands",,"한글 번역 없음"
"Day 16",rub,"rub the skin",,"한글 번역 없음"
"Day 16",rub,"rub the surface",,"한글 번역 없음"
"Day 16",wash,"I wash my face",,"한글 번역 없음"
"Day 16",wash,"wash the arms",,"한글 번역 없음"
"Day 16",wash,"wash the body",,"한글 번역 없음"
"Day 16",wash,"wash the face",,"한글 번역 없음"
"Day 16",wash,"wash the feet",,"한글 번역 없음"
"Day 16",wash,"wash the hair",,"한글 번역 없음"
"Day 16",wash,"wash the hands",,"한글 번역 없음"
"Day 16",wash,"wash the legs",,"한글 번역 없음"
"Day 16",have,"I have a shampoo",,"한글 번역 없음"
"Day 16",have,"have a bath",,"한글 번역 없음"
"Day 16",have,"have a haircut",,"한글 번역 없음"
"Day 16",have,"have a perm",,"한글 번역 없음"
"Day 16",have,"have a shampoo",,"한글 번역 없음"
"Day 16",have,"have a shave",,"한글 번역 없음"
"Day 16",have,"have a shower",,"한글 번역 없음"
"Day 16",have,"have a tan",,"한글 번역 없음"
"Day 17",grab,"I grab my toothbrush",,"한글 번역 없음"
"Day 17",grab,"grab the bag",,"한글 번역 없음"
"Day 17",grab,"grab the ball",,"한글 번역 없음"
"Day 17",grab,"grab the book",,"한글 번역 없음"
"Day 17",grab,"grab the coat",,"한글 번역 없음"
"Day 17",grab,"grab the pen",,"한글 번역 없음"
"Day 17",grab,"grab the phone",,"한글 번역 없음"
"Day 17",grab,"grab the toothbrush",,"한글 번역 없음"
"Day 17",squeeze,"I squeeze the toothpaste",,"한글 번역 없음"
"Day 17",squeeze,"squeeze the juice",,"한글 번역 없음"
"Day 17",squeeze,"squeeze the lemon",,"한글 번역 없음"
"Day 17",squeeze,"squeeze the lime",,"한글 번역 없음"
"Day 17",squeeze,"squeeze the orange",,"한글 번역 없음"
"Day 17",squeeze,"squeeze the sponge",,"한글 번역 없음"
"Day 17",squeeze,"squeeze the toothpaste",,"한글 번역 없음"
"Day 17",squeeze,"squeeze the tube",,"한글 번역 없음"
"Day 17",brush,"I brush my teeth",,"한글 번역 없음"
"Day 17",brush,"brush the cat",,"한글 번역 없음"
"Day 17",brush,"brush the clothes",,"한글 번역 없음"
"Day 17",brush,"brush the coat",,"한글 번역 없음"
"Day 17",brush,"brush the dog",,"한글 번역 없음"
"Day 17",brush,"brush the hair",,"한글 번역 없음"
"Day 17",brush,"brush the shoes",,"한글 번역 없음"
"Day 17",brush,"brush the teeth",,"한글 번역 없음"
"Day 18",rinse,"I rinse my mouth",,"한글 번역 없음"
"Day 18",rinse,"rinse the cup",,"한글 번역 없음"
"Day 18",rinse,"rinse the dishes",,"한글 번역 없음"
"Day 18",rinse,"rinse the glass",,"한글 번역 없음"
"Day 18",rinse,"rinse the hair",,"한글 번역 없음"
"Day 18",rinse,"rinse the mouth",,"한글 번역 없음"
"Day 18",rinse,"rinse the rice",,"한글 번역 없음"
"Day 18",rinse,"rinse the vegetables",,"한글 번역 없음"
"Day 18","spit out","I spit out the water",,"한글 번역 없음"
"Day 18","spit out","spit out the answer",,"한글 번역 없음"
"Day 18","spit out","spit out the coffee",,"한글 번역 없음"
"Day 18","spit out","spit out the food",,"한글 번역 없음"
"Day 18","spit out","spit out the gum",,"한글 번역 없음"
"Day 18","spit out","spit out the seed",,"한글 번역 없음"
"Day 18","spit out","spit out the water",,"한글 번역 없음"
"Day 18","spit out","spit out the word",,"한글 번역 없음"
"Day 18",clean,"I clean the sink",,"한글 번역 없음"
"Day 18",clean,"clean the carpet",,"한글 번역 없음"
"Day 18",clean,"clean the desk",,"한글 번역 없음"
"Day 18",clean,"clean the floor",,"한글 번역 없음"
"Day 18",clean,"clean the mirror",,"한글 번역 없음"
"Day 18",clean,"clean the sink",,"한글 번역 없음"
"Day 18",clean,"clean the table",,"한글 번역 없음"
"Day 18",clean,"clean the window",,"한글 번역 없음"
"Day 19","turn off","I turn off the water",,"한글 번역 없음"
"Day 19","turn off","turn off the TV",,"한글 번역 없음"
"Day 19","turn off","turn off the computer",,"한글 번역 없음"
"Day 19","turn off","turn off the light",,"한글 번역 없음"
"Day 19","turn off","turn off the music",,"한글 번역 없음"
"Day 19","turn off","turn off the radio",,"한글 번역 없음"
"Day 19","turn off","turn off the tap",,"한글 번역 없음"
"Day 19","turn off","turn off the water",,"한글 번역 없음"
"Day 19",be,"I am peaceful",,"한글 번역 없음"
"Day 19",be,"be cheerful",,"한글 번역 없음"
"Day 19",be,"be confident",,"한글 번역 없음"
"Day 19",be,"be generous",,"한글 번역 없음"
"Day 19",be,"be hopeful",,"한글 번역 없음"
"Day 19",be,"be old",,"한글 번역 없음"
"Day 19",be,"be peaceful",,"한글 번역 없음"
"Day 19",be,"be young",,"한글 번역 없음"
"Day 19",have,"I have breakfast",,"한글 번역 없음"
"Day 19",have,"have a dessert",,"한글 번역 없음"
"Day 19",have,"have a meal",,"한글 번역 없음"
"Day 19",have,"have a snack",,"한글 번역 없음"
"Day 19",have,"have breakfast",,"한글 번역 없음"
"Day 19",have,"have dinner",,"한글 번역 없음"
"Day 19",have,"have lunch",,"한글 번역 없음"
"Day 19",have,"have supper",,"한글 번역 없음"
"Day 20",pour,"I pour the milk",,"한글 번역 없음"
"Day 20",pour,"pour the coffee",,"한글 번역 없음"
"Day 20",pour,"pour the juice",,"한글 번역 없음"
"Day 20",pour,"pour the milk",,"한글 번역 없음"
"Day 20",pour,"pour the sauce",,"한글 번역 없음"
"Day 20",pour,"pour the soup",,"한글 번역 없음"
"Day 20",pour,"pour the water",,"한글 번역 없음"
"Day 20",pour,"pour the wine",,"한글 번역 없음"
"Day 20",warm,"I warm the milk",,"한글 번역 없음"
"Day 20",warm,"warm the house",,"한글 번역 없음"
"Day 20",warm,"warm the milk",,"한글 번역 없음"
"Day 20",warm,"warm the pan",,"한글 번역 없음"
"Day 20",warm,"warm the pot",,"한글 번역 없음"
"Day 20",warm,"warm the room",,"한글 번역 없음"
"Day 20",warm,"warm the soup",,"한글 번역 없음"
"Day 20",warm,"warm the water",,"한글 번역 없음"
"Day 20",eat,"I eat the cereal",,"한글 번역 없음"
"Day 20",eat,"eat breakfast",,"한글 번역 없음"
"Day 20",eat,"eat dinner",,"한글 번역 없음"
"Day 20",eat,"eat lunch",,"한글 번역 없음"
"Day 20",eat,"eat the bread",,"한글 번역 없음"
"Day 20",eat,"eat the cereal",,"한글 번역 없음"
"Day 20",eat,"eat the rice",,"한글 번역 없음"
"Day 20",eat,"eat the soup",,"한글 번역 없음"
"Day 21",check,"I check my phone",,"한글 번역 없음"
"Day 21",check,"check the email",,"한글 번역 없음"
"Day 21",check,"check the items",,"한글 번역 없음"
"Day 21",check,"check the map",,"한글 번역 없음"
"Day 21",check,"check the phone",,"한글 번역 없음"
"Day 21",check,"check the result",,"한글 번역 없음"
"Day 21",check,"check the time",,"한글 번역 없음"
"Day 21",check,"check the weather",,"한글 번역 없음"
"Day 21",browse,"I browse social media",,"한글 번역 없음"
"Day 21",browse,"browse social media",,"한글 번역 없음"
"Day 21",browse,"browse the book",,"한글 번역 없음"
"Day 21",browse,"browse the gallery",,"한글 번역 없음"
"Day 21",browse,"browse the internet",,"한글 번역 없음"
"Day 21",browse,"browse the site",,"한글 번역 없음"
"Day 21",browse,"browse the store",,"한글 번역 없음"
"Day 21",browse,"browse the web",,"한글 번역 없음"
"Day 21",send,"I send the message",,"한글 번역 없음"
"Day 21",send,"send the email",,"한글 번역 없음"
"Day 21",send,"send the fax",,"한글 번역 없음"
"Day 21",send,"send the file",,"한글 번역 없음"
"Day 21",send,"send the invitation",,"한글 번역 없음"
"Day 21",send,"send the message",,"한글 번역 없음"
"Day 21",send,"send the photo",,"한글 번역 없음"
"Day 21",send,"send the report",,"한글 번역 없음"
